job_id,skill_count,skills_str
e73899a92d8a195844ac95c6f5746e9237f6ebd61a2899554325e4acd83f33f2,12,"Python, Communication, Attention to Detail, Problem Solving, Analytical Skills, Data Analysis, Predictive Modeling, SQL, Statistics, R Programming, Machine Learning, Data Science"
98ec25f8c89d2d7676ee1482e6acd03566661d58107791b8b2c4ceb7542d020e,18,"Communication, Express.js, Problem Solving, Mentoring, Teamwork, SQL, SQL Server, Software Testing, CSS, ASP.NET, HTML, Leadership, JavaScript, Documentation, Angular, Design Patterns, Requirements Gathering, Business Analysis"
bac2fad2b840308641cb00220fe0162c1808eb4d78f0db5290d2ad2b2071b149,26,"Hadoop, SQL, Apache Spark, Java, Python, Mentoring, MongoDB, NoSQL, Snowflake, Machine Learning, Innovation, Cassandra, Redshift, Azure, RDBMS, EMR, Linux, Data Warehouse, AWS, Unix, Cross-functional Collaboration, Apache Kafka, Software Testing, Apache Hive, GCP, Agile"
f40f789eeffe2194a5c56661aafb3d51b692e50df4e533b550e970b06b4e2dfb,23,"SQL, Ansible, TDD, Microservices, Java, CI/CD, Classification, Communication, Observability, GKE, Splunk, Cross-functional Collaboration, New Relic, Spring Boot, Requirements Gathering, PostgreSQL, RESTful API, Spring Framework, Software Testing, GCP, Bitbucket, Grafana, Presentation Skills"
9cbbb8b54629298683db5b209cbbc03eff3d40462bac0839ce6df1a21d8855e6,52,"Airflow, Problem Solving, Vertex AI, JIRA, SQL, Java EE, Git, CSS, Cloud Native, Microservices, JUnit, Helm, Java, CI/CD, Communication, Mentoring, Selenium, Terraform, GKE, GitHub, BigQuery, Generative AI, Artificial Intelligence, Azure, MySQL, Apache Beam, Kubernetes, Decision Making, SQL Server, Apache Airflow, AWS, Gradle, HTML, Angular, SRE, Documentation, Cross-functional Collaboration, Maven, Spring Boot, Requirements Gathering, Scrum, KPI, Software Testing, TypeScript, Leadership, R Programming, JavaScript, GCP, Agile, Bootstrap, Jenkins, Dataflow"
55b71d6b732512687ada8c779f1f9b993c69d17fc75e4a50bf08a1d2c5b671aa,7,"Python, Communication, Multithreading, Problem Solving, Test Automation, Chef, Innovation"
df2aea274d62b55ff515f5d19b02f6e9506488fed734d3a18ab2f6653c1e1930,25,"React, Redux, Authentication, Microservices, JUnit, CI/CD, GraphQL, MongoDB, Test Automation, S3, Cucumber, Data Pipeline, EMR, JWT, AWS, Spring Boot, Apache Kafka, API Gateway, Spring Framework, Software Testing, TypeScript, SOAP, ECS, JMeter, Jenkins"
21e898dd31ee0f1f0fa71cdc0916d5f1efffeacae15f735a1a247c0aa2562d7b,31,"Problem Solving, SQL, Statistics, Excel, Data Science, Tableau, End-to-End Testing, Python, Communication, Stakeholder Management, Analytical Skills, Data Lineage, Dashboard, Decision Making, Data Warehouse, Data Analysis, SQL Server, ETL, Data Modeling, Documentation, Power BI, Requirements Gathering, Attention to Detail, Business Intelligence, Cybersecurity, Software Testing, Leadership, R Programming, Critical Thinking, Data Governance, Presentation Skills"
460fab2792c00fafbe44f3a19f35a7c06ca6e48ed94c319aa7b9d5f6ea9fb0a0,1,Innovation
0bc5f7a81077d948388870e4a43b2ce74ba0c4e207565177f07587009dbdad3c,10,"Communication, Problem Solving, Analytical Skills, Predictive Modeling, Collaboration, dbt, Leadership, Data Engineering, Snowflake, Requirements Gathering"
