job_id,entity_count,unique_skills,skills,labels
e73899a92d8a195844ac95c6f5746e9237f6ebd61a2899554325e4acd83f33f2,14,9,"Analytical Skills, Communication, Data Analysis, Data Science, Machine Learning, Python, R Programming, SQL, Statistics","DATABASE, DATA_SCIENCE, MACHINE_LEARNING, PYTHON, SOFT_SKILL"
98ec25f8c89d2d7676ee1482e6acd03566661d58107791b8b2c4ceb7542d020e,25,14,"Angular, CSS, Communication, Express.js, HTML, JavaScript, Leadership, Mentoring, Problem Solving, Requirements Gathering, SQL, SQL Server, Software Testing, Teamwork","DATABASE, SOFT_SKILL, TESTING, WEB_DEV"
bac2fad2b840308641cb00220fe0162c1808eb4d78f0db5290d2ad2b2071b149,30,23,"AWS, Agile, Apache Kafka, Apache Spark, Azure, Cassandra, Cross-functional, Data Warehouse, EMR, GCP, Hadoop, Innovation, Java, Linux, Machine Learning, Mentoring, MongoDB, NoSQL, Python, Redshift, SQL, Snowflake, Software Testing","CLOUD, DATABASE, DATA_ENG, DEVOPS, JAVA, MACHINE_LEARNING, PYTHON, SOFT_SKILL, TESTING"
f40f789eeffe2194a5c56661aafb3d51b692e50df4e533b550e970b06b4e2dfb,21,16,"Ansible, CI/CD, Classification, Communication, Cross-functional, GCP, Grafana, Java, Microservices, PostgreSQL, RESTful API, Requirements Gathering, SQL, Software Testing, Spring Boot, TDD","CLOUD, DATABASE, DEVOPS, JAVA, MACHINE_LEARNING, SOFT_SKILL, TESTING"
9cbbb8b54629298683db5b209cbbc03eff3d40462bac0839ce6df1a21d8855e6,64,40,"AWS, Agile, Airflow, Angular, Artificial Intelligence, Azure, BigQuery, Bootstrap, CI/CD, CSS, Communication, Cross-functional, GCP, Generative AI, Git, GitHub, Gradle, HTML, Helm, JUnit, Java, Java EE, JavaScript, Jenkins, Kubernetes, Leadership, Maven, Mentoring, Microservices, MySQL, Problem Solving, R Programming, Requirements Gathering, SQL Server, Scrum, Selenium, Software Testing, Spring Boot, Terraform, TypeScript","CLOUD, DATABASE, DATA_SCIENCE, DEVOPS, JAVA, MACHINE_LEARNING, PYTHON, SOFT_SKILL, TESTING, WEB_DEV"
55b71d6b732512687ada8c779f1f9b993c69d17fc75e4a50bf08a1d2c5b671aa,5,5,"Communication, Innovation, Problem Solving, Python, Test Automation","PYTHON, SOFT_SKILL, TESTING"
df2aea274d62b55ff515f5d19b02f6e9506488fed734d3a18ab2f6653c1e1930,26,20,"AWS, Apache Kafka, Authentication, CI/CD, Data Pipeline, ECS, EMR, GraphQL, JMeter, JUnit, Jenkins, Microservices, MongoDB, React, Redux, S3, Software Testing, Spring Boot, Test Automation, TypeScript","CLOUD, DATABASE, DATA_ENG, DEVOPS, JAVA, SECURITY, TESTING, WEB_DEV"
21e898dd31ee0f1f0fa71cdc0916d5f1efffeacae15f735a1a247c0aa2562d7b,37,20,"Analytical Skills, Communication, Critical Thinking, Cybersecurity, Data Analysis, Data Science, Data Warehouse, ETL, Excel, Leadership, Power BI, Problem Solving, Python, R Programming, Requirements Gathering, SQL, SQL Server, Software Testing, Statistics, Tableau","DATABASE, DATA_ENG, DATA_SCIENCE, PYTHON, SECURITY, SOFT_SKILL, TESTING"
460fab2792c00fafbe44f3a19f35a7c06ca6e48ed94c319aa7b9d5f6ea9fb0a0,1,1,Innovation,SOFT_SKILL
0bc5f7a81077d948388870e4a43b2ce74ba0c4e207565177f07587009dbdad3c,9,9,"Analytical Skills, Collaboration, Communication, Data Engineering, Leadership, Problem Solving, Requirements Gathering, Snowflake, dbt","DATABASE, DATA_ENG, SOFT_SKILL"
e02a65928f597f00019664f7350a5d29fed41c19946d7d6c2e9ea877445dfccc,7,7,"Apache Spark, Artificial Intelligence, Collaboration, Data Engineering, Data Mining, Python, RAG","DATA_ENG, DATA_SCIENCE, MACHINE_LEARNING, PYTHON, SOFT_SKILL"
40d38959843dc3cc2b8a488e8299b829109ff8d2e4caad7d09e820edb7c44968,16,9,"CI/CD, Communication, GitHub Actions, Kubernetes, Problem Solving, Python, Software Testing, Test Automation, TypeScript","DEVOPS, PYTHON, SOFT_SKILL, TESTING, WEB_DEV"
791cc0c3d04da8601460d52b8350a616eb36deb0fbe9469afe56812af4ba6384,15,7,"AWS, Artificial Intelligence, Generative AI, Hugging Face, Innovation, Python, TDD","CLOUD, MACHINE_LEARNING, PYTHON, SOFT_SKILL, TESTING"
f38dc8d89871e2489b4bfbbe21cb574249771e902bb21448736c11342bee52d8,2,2,"Data Science, Test Automation","DATA_SCIENCE, TESTING"
05c28e2e9805e8ad1d573d1109f351bd7b786af59074d46b23bbb477ce4065b1,41,27,"AWS, Agile, Analytical Skills, Artificial Intelligence, CI/CD, Collaboration, Communication, Data Visualization, DevOps, DynamoDB, EC2, ECS, Grafana, Innovation, Lambda, Leadership, Mentoring, Microservices, Node.js, Problem Solving, React, S3, Scrum, Serverless, Test Automation, TypeScript, Unit Testing","CLOUD, DATA_SCIENCE, DEVOPS, JAVA, MACHINE_LEARNING, SOFT_SKILL, TESTING, WEB_DEV"
4fc8145238b3d68792b6710b9be97157ea743a761e1c261abedd0e1eb6d89d7f,9,9,"Airflow, Analytical Skills, Apache Spark, Cross-functional, Feature Engineering, Python, SQL, SageMaker, Statistics","CLOUD, DATABASE, DATA_ENG, DATA_SCIENCE, PYTHON, SOFT_SKILL"
b93f320691b56ebea12ea8bad5a02033029a11d8e458adef3bc87e19cd867de3,7,7,"CI/CD, GitLab CI, Java, Jenkins, Python, Spring Boot, Terraform","DEVOPS, JAVA, PYTHON"
2b8f03cf4ae44f56d36409d88284b82dba0a6eb55663b0511df48f6a2daf0799,10,9,"Communication, Cross-functional, Data Quality, ETL, Python, Requirements Gathering, SQL, Snowflake, dbt","DATABASE, DATA_ENG, DATA_SCIENCE, PYTHON, SOFT_SKILL"
bc8c3fe8771084d78ecb5e033ddd4843ba37272bd13cb617bb3c8d7d7905d857,4,1,Requirements Gathering,SOFT_SKILL
fb9ee478146b6806ff9ec43fe451d5cb4e7d0ca395689fc7e2a7d6509cdc339e,8,6,"Docker, Express.js, Next.js, Node.js, PostgreSQL, React","DATABASE, DEVOPS, WEB_DEV"
65271e28133793b8b1931f9e71ea4b4b947c2d5e1b01f547a90a1720037d9098,20,15,"Android, Azure, CI/CD, Collaboration, Communication, DevOps, GitHub Actions, JUnit, Jetpack Compose, Kotlin, Problem Solving, Software Testing, Swift, SwiftUI, iOS","CLOUD, DEVOPS, JAVA, MOBILE, SOFT_SKILL, TESTING"
584f80655eed3231a5e362015cee8980653c61bcb2c3b11291c1c5707d381f51,5,4,"Artificial Intelligence, Collaboration, Innovation, Machine Learning","MACHINE_LEARNING, SOFT_SKILL"
6ffcfb23d41c9fb8ac520503413fd3d9c8f12d4021a3ce878e1a22c6cad18707,0,0,,
5ff4095aec22a1464c327cdb1ff6aa4eab8a03f09ff551bf7df7e9e2b806fa2c,20,16,"Analytical Skills, Artificial Intelligence, Classification, Collaboration, Communication, Computer Vision, Data Science, Deep Learning, ETL, Generative AI, Machine Learning, NumPy, Pandas, PyTorch, Scikit-learn, TensorFlow","DATA_SCIENCE, MACHINE_LEARNING, PYTHON, SOFT_SKILL"
3dda4e5abfcd05fd5e491e7e6a0170d56c582af911f58d5733b0c25beceebdb8,19,15,"Analytical Skills, Apache Spark, Data Engineering, Data Science, GCP, Innovation, Kubernetes, MLOps, Machine Learning, Problem Solving, PyTorch, Python, Requirements Gathering, Scikit-learn, TensorFlow","CLOUD, DATA_ENG, DATA_SCIENCE, DEVOPS, MACHINE_LEARNING, PYTHON, SOFT_SKILL"
5be285ff672f32d6fbada8a6f7735abc285e942bfac783f645fc70b17ea2052b,14,10,"Artificial Intelligence, Cross-functional, Deep Learning, GPT, Machine Learning, NLP, Prompt Engineering, PyTorch, Python, TensorFlow","MACHINE_LEARNING, PYTHON, SOFT_SKILL"
9c36b2df1ab37dfc3a176200a336a55219df7505ecfc544ca9859f4cc2357a77,16,8,"Artificial Intelligence, Data Science, Data Visualization, Machine Learning, Python, R Programming, SQL, Statistics","DATABASE, DATA_SCIENCE, MACHINE_LEARNING, PYTHON"
da7bb99adef7f578e2019be569058bbe5832bbbff69167ac6407af8862e41c42,10,9,"A/B Testing, Data Analysis, Data Pipeline, Data Quality, Data Warehouse, ETL, Requirements Gathering, Software Testing, Statistics","DATA_ENG, DATA_SCIENCE, SOFT_SKILL, TESTING"
7d9b72280965c6412270f54cfc40faf032034acc71be2c97afb25f785d4b385e,1,1,Mentoring,SOFT_SKILL
610aa52ccc939878c2df48aca07430241761103a3df3406d11f8b9a5e11c219d,7,6,"CNN, Deep Learning, Hugging Face, Machine Learning, Python, RNN","MACHINE_LEARNING, PYTHON"
fa0b27d39a306687a1f7f741c75d2848a655a7acec6aeff83504fde1cbfdd993,11,8,"Communication, Cross-functional, Innovation, Java, Mentoring, Quality Assurance, Requirements Gathering, Spring Framework","JAVA, SOFT_SKILL, TESTING"
ad8d4e5206e18c5e7aba7d62bae80a0eb5c823a63953f1ffc11b3dab8c1a7123,13,9,"Agile, Collaboration, ETL, Next.js, Python, Requirements Gathering, SQL Server, Scrum, Snowflake","DATABASE, DATA_SCIENCE, PYTHON, SOFT_SKILL, WEB_DEV"
23fa2fab3eca50bc51c1e4e21d93ddddbbd6d4f9d0b56da16fa543de3beb850c,16,9,"Analytical Skills, CI/CD, Collaboration, Cross-functional, Data Quality, Data Science, Mentoring, Requirements Gathering, Statistics","DATA_ENG, DATA_SCIENCE, DEVOPS, SOFT_SKILL"
ad7d33f1967beb855cd6647faf4ad05365fa8c15f2510053b77b635e3dd0ab5c,1,1,Requirements Gathering,SOFT_SKILL
9baa96c901befdb4d6596d56b862967187823207731e0a46783c839faaff3e42,10,7,"A/B Testing, Artificial Intelligence, Collaboration, MongoDB, Node.js, React, SQL","DATABASE, DATA_SCIENCE, MACHINE_LEARNING, SOFT_SKILL, WEB_DEV"
f7f5977b8e8d754b437c959337ecb5025daa3aaebbdaba101fbfb58f8dd0d9d8,54,43,"AWS, Agile, Apache Spark, Artificial Intelligence, Azure, CI/CD, Computer Vision, Data Quality, Data Science, Data Visualization, Deep Learning, DevOps, Django, DynamoDB, FastAPI, Flask, GCP, Generative AI, GitHub Actions, HTML, Java, Jenkins, LLM, LangChain, Machine Learning, MongoDB, NoSQL, Pinecone, PostgreSQL, PyTorch, Python, R Programming, RAG, RESTful API, RNN, Regression, SQL, Software Testing, Statistics, Tableau, TensorFlow, Terraform, Time Series","CLOUD, DATABASE, DATA_ENG, DATA_SCIENCE, DEVOPS, JAVA, MACHINE_LEARNING, PYTHON, SOFT_SKILL, TESTING, WEB_DEV"
2aeea2464e651b79890c9e99edfd027bbed5a4a02440ec223578d51266f08d56,6,4,"Artificial Intelligence, HIPAA, LLM, Mentoring","MACHINE_LEARNING, SECURITY, SOFT_SKILL"
25f7ace07139dff55fab6ca27698169dd739d9e62354d427261a70e3cddd4e65,2,2,"Mentoring, Requirements Gathering",SOFT_SKILL
887919d3164f259cb67674c4a61efed959f75da84b6eeb4074d9d4fc7728d6d1,5,5,"Apache Kafka, Java, Jenkins, Kubernetes, Spring Boot","DEVOPS, JAVA"
befeac5143375814a4c8a3804f343004b0b8c9c00ccf75f8cbbc848549054de5,27,20,"AWS, Agile, Airflow, Analytical Skills, Apache Kafka, CI/CD, Communication, Computer Vision, GitHub Actions, Innovation, Jenkins, Machine Learning, NoSQL, PyTorch, Python, Requirements Gathering, SQL, Software Testing, TensorFlow, Test Automation","CLOUD, DATABASE, DEVOPS, JAVA, MACHINE_LEARNING, PYTHON, SOFT_SKILL, TESTING"
07e89cd17add934c90e3a969fcbcb9f44170d685bbcde4d6b01c2fe0bd474ff5,9,8,"Analytical Skills, Communication, Cross-functional, Data Visualization, Looker, Problem Solving, SQL, Statistics","DATABASE, DATA_SCIENCE, SOFT_SKILL"
3214d631a33386abd62ab7cebfa9d6c8bfb0b42b47962f4632d8da5661af8e9c,15,14,"AWS, Analytical Skills, CI/CD, Communication, Data Pipeline, ETL, Linux, Problem Solving, Project Management, Python, Regression, SQL, Software Testing, Test Automation","CLOUD, DATABASE, DATA_ENG, DATA_SCIENCE, DEVOPS, PYTHON, SOFT_SKILL, TESTING"
7f81d151950bb73b5477c245460c919d6f8b1cec2ae9c1f5ca9760ef8e01a536,15,9,"Artificial Intelligence, Collaboration, Communication, Data Science, Innovation, Machine Learning, Python, R Programming, Statistics","DATA_SCIENCE, MACHINE_LEARNING, PYTHON, SOFT_SKILL"
15751de69d3917611e7ce3783fc90c82d4f85ba92c5ac8fa354411b3dc4947ba,7,7,"Java, Kotlin, Leadership, Mentoring, NoSQL, Requirements Gathering, Software Testing","DATABASE, JAVA, MOBILE, SOFT_SKILL, TESTING"
8be59168ba09c16066d5dfece61b027a76f4435e9c3ecaf9ddad53320f0cea4e,22,15,"AWS, Artificial Intelligence, Azure, Cross-functional, Deep Learning, GCP, GPT, Hugging Face, Machine Learning, NLP, Prompt Engineering, PyTorch, Python, TensorFlow, Transformer","CLOUD, MACHINE_LEARNING, PYTHON, SOFT_SKILL"
24d974e55ec9ea5353aee76cd548cde9c8871b52204072320214a7949f052f2b,15,9,"Analytical Skills, Data Analysis, Data Visualization, Hadoop, Machine Learning, Python, R Programming, Statistics, Tableau","DATA_ENG, DATA_SCIENCE, MACHINE_LEARNING, PYTHON, SOFT_SKILL"
a2a2263596d6894b2676949f865a276dffb96b80744a4a0687e4cdbb0663655d,25,19,"AWS, Android, Azure, CI/CD, Collaboration, Communication, GCP, Git, Innovation, Java, Kotlin, Leadership, PostgreSQL, Problem Solving, RESTful API, Ruby on Rails, Swift, SwiftUI, iOS","CLOUD, DATABASE, DEVOPS, JAVA, MOBILE, SOFT_SKILL, WEB_DEV"
035dfaab1ee416747a7b9cda1040acd5ca34d14934ffb1bf29873eb5dbb3085d,19,18,"Agile, Angular, CSS, Communication, DevOps, Git, Java, JavaScript, Jenkins, Linux, Oracle, PHP, PostgreSQL, Python, SQL, Scrum, Spring Boot, Tomcat","DATABASE, DEVOPS, JAVA, PYTHON, SOFT_SKILL, WEB_DEV"
c1950543b93549936889049d6009d4de5ca6e4128f7af7cfb6c5beb6e89c95c9,5,5,"Classification, Data Science, ETL, Machine Learning, Statistics","DATA_SCIENCE, MACHINE_LEARNING"
2095a4de55a345ab943c81dab66605c53e482e9db15152e888144be691f79f91,13,11,"AWS, Analytical Skills, Apache Spark, Classification, Clustering, Communication, Data Science, Deep Learning, Machine Learning, Python, Statistics","CLOUD, DATA_ENG, DATA_SCIENCE, MACHINE_LEARNING, PYTHON, SOFT_SKILL"
e3955ab0d111eb877986d4c5bcf37e4523ab6099d780a2baabc1f22588afc7d2,10,8,"AWS, Artificial Intelligence, CSS, HTML, JavaScript, Linux, Software Testing, TypeScript","CLOUD, DEVOPS, MACHINE_LEARNING, TESTING, WEB_DEV"
bb5fef95deb7f5ce6e6a72ea733288372f635bcb568242a0853c165d1c2b3950,37,16,"Analytical Skills, Collaboration, Communication, Data Quality, Data Science, HIPAA, Leadership, Machine Learning, Oracle, Power BI, Python, R Programming, SQL, Statistics, Tableau, Time Series","DATABASE, DATA_ENG, DATA_SCIENCE, MACHINE_LEARNING, PYTHON, SECURITY, SOFT_SKILL"
