skill,count,percentage
AWS,1998,26.04954367666232
Azure,1243,16.20599739243807
GCP,884,11.525423728813559
S3,421,5.488917861799218
Lambda,280,3.650586701434159
Redshift,278,3.6245110821382007
BigQuery,209,2.72490221642764
DynamoDB,148,1.9295958279009127
Serverless,140,1.8252933507170794
RDS,138,1.7992177314211213
EMR,132,1.7209908735332464
EC2,131,1.7079530638852674
ECS,127,1.6558018252933506
Kinesis,124,1.6166883963494132
SageMaker,120,1.5645371577574967
IAM,118,1.5384615384615385
CloudWatch,106,1.3820078226857888
Azure DevOps,104,1.3559322033898304
Vertex AI,63,0.8213820078226858
EKS,63,0.8213820078226858
CloudFormation,60,0.7822685788787483
VPC,16,0.20860495436766624
