skill,count,percentage
Authentication,208,2.711864406779661
Cybersecurity,95,1.2385919165580181
Encryption,89,1.1603650586701435
HIPAA,78,1.0169491525423728
GDPR,66,0.8604954367666232
OAuth,65,0.847457627118644
Application Security,49,0.6388526727509778
Vulnerability Assessment,35,0.45632333767926986
Information Security,29,0.37809647979139505
DevSecOps,28,0.3650586701434159
OWASP,26,0.3389830508474576
Cloud Security,25,0.3259452411994785
SSO,24,0.31290743155149936
SOC 2,18,0.23468057366362452
SAML,15,0.19556714471968709
Network Security,11,0.14341590612777053
Zero Trust,8,0.10430247718383312
Penetration Testing,6,0.07822685788787484
SIEM,1,0.01303780964797914
