skill,count,percentage
ETL,817,10.651890482398956
Data Engineering,755,9.843546284224251
Apache Spark,688,8.970013037809649
Data Quality,641,8.357235984354629
Apache Kafka,546,7.11864406779661
Databricks,462,6.023468057366363
Apache Airflow,367,4.784876140808344
Data Governance,347,4.524119947848761
ELT,320,4.172099087353325
dbt,281,3.6636245110821384
PySpark,263,3.4289439374185138
Hadoop,260,3.389830508474576
Data Pipeline,243,3.168187744458931
Data Warehouse,208,2.711864406779661
Data Lake,164,2.1382007822685787
Apache Flink,76,0.9908735332464146
Delta Lake,61,0.7953063885267275
Dagster,53,0.6910039113428944
Prefect,47,0.6127770534550195
Apache Iceberg,44,0.5736636245110821
Parquet,38,0.4954367666232073
HDFS,24,0.31290743155149936
Luigi,5,0.0651890482398957
