skill,count,percentage
Statistics,1517,19.778357235984355
Data Science,1509,19.674054758800523
Data Analysis,735,9.582790091264668
Tableau,610,7.953063885267275
Power BI,576,7.509778357235985
Data Visualization,552,7.196870925684485
Data Analytics,337,4.39374185136897
Regression,334,4.354628422425033
Excel,300,3.911342894393742
Business Intelligence,287,3.7418513689700132
A/B Testing,217,2.8292046936114734
Looker,184,2.398956975228162
Data Mining,182,2.3728813559322033
Feature Engineering,179,2.333767926988266
EDA,138,1.7992177314211213
Time Series,130,1.694915254237288
Hypothesis Testing,115,1.4993481095176011
SAS,108,1.4080834419817472
Probability,101,1.316818774445893
SPSS,22,0.28683181225554105
R Programming,14,0.18252933507170796
Predictive Modeling,9,0.11734028683181226
