skill,count,percentage
CI/CD,1585,20.664928292046937
Git,988,12.88135593220339
Kubernetes,716,9.335071707953064
Docker,710,9.256844850065189
DevOps,653,8.513689700130378
GitHub,522,6.80573663624511
Jenkins,407,5.30638852672751
Linux,345,4.498044328552803
Terraform,308,4.015645371577575
GitLab CI,186,2.42503259452412
GitHub Actions,176,2.2946544980443284
Datadog,124,1.6166883963494132
Bash,83,1.0821382007822686
Grafana,76,0.9908735332464146
Ansible,64,0.834419817470665
Helm,50,0.651890482398957
Prometheus,48,0.6258148631029987
Splunk,46,0.5997392438070405
ELK Stack,21,0.2737940026075619
ArgoCD,17,0.22164276401564537
CircleCI,13,0.1694915254237288
Chef,10,0.1303780964797914
Puppet,9,0.11734028683181226
Istio,4,0.05215123859191656
