skill,count,percentage
Java,2033,26.50586701434159
RESTful API,706,9.204693611473273
Microservices,703,9.165580182529336
Spring Framework,670,8.735332464146023
Kafka,546,7.11864406779661
Spring Boot,492,6.4146023468057365
JUnit,222,2.8943937418513688
Maven,180,2.346805736636245
Gradle,158,2.0599739243807043
Java EE,130,1.694915254237288
RabbitMQ,87,1.1342894393741851
Hibernate,85,1.1082138200782268
JPA,64,0.834419817470665
Tomcat,53,0.6910039113428944
Spring MVC,48,0.6258148631029987
Mockito,43,0.560625814863103
Spring Security,23,0.29986962190352023
Log4j,5,0.0651890482398957
Quarkus,3,0.03911342894393742
