skill,count,percentage
AI,2207,28.77444589308996
Machine Learning,1607,20.951760104302476
LLM,374,4.876140808344198
NLP,373,4.863102998696219
Deep Learning,322,4.198174706649283
Generative AI,297,3.8722294654498044
Classification,277,3.6114732724902217
MLOps,244,3.18122555410691
RAG,203,2.646675358539765
Clustering,201,2.620599739243807
Prompt Engineering,148,1.9295958279009127
Computer Vision,125,1.6297262059973925
XGBoost,74,0.9647979139504563
MLflow,70,0.9126466753585397
GPT,57,0.7431551499348109
Transformer,46,0.5997392438070405
Random Forest,33,0.4302477183833116
Gradient Boosting,31,0.4041720990873533
BERT,18,0.23468057366362452
SVM,17,0.22164276401564537
LightGBM,13,0.1694915254237288
CNN,12,0.15645371577574968
Neural Networks,9,0.11734028683181226
RNN,6,0.07822685788787484
LSTM,2,0.02607561929595828
