skill,count,percentage
Android,609,7.940026075619296
Kotlin,511,6.66232073011734
iOS,255,3.3246414602346808
Jetpack Compose,193,2.516297262059974
Swift,170,2.2164276401564535
React Native,164,2.1382007822685787
Android Studio,93,1.21251629726206
Flutter,90,1.1734028683181226
Firebase,85,1.1082138200782268
Objective-C,69,0.8996088657105606
Xcode,50,0.651890482398957
SwiftUI,47,0.6127770534550195
Dart,24,0.31290743155149936
Xamarin,15,0.19556714471968709
Ionic,12,0.15645371577574968
UIKit,10,0.1303780964797914
