skill,count,percentage
Python,3424,44.64146023468057
PyTorch,447,5.827900912646675
TensorFlow,404,5.267275097783572
Airflow,367,4.784876140808344
Scikit-learn,354,4.615384615384615
Pandas,328,4.276401564537157
PySpark,263,3.4289439374185138
NumPy,212,2.7640156453715776
LangChain,139,1.8122555410691004
Hugging Face,131,1.7079530638852674
Django,116,1.5123859191655802
FastAPI,97,1.2646675358539765
Flask,74,0.9647979139504563
Matplotlib,74,0.9647979139504563
Plotly,62,0.8083441981747066
Jupyter,60,0.7822685788787483
Keras,41,0.5345501955671447
Streamlit,40,0.5215123859191656
Seaborn,38,0.4954367666232073
SciPy,29,0.37809647979139505
pytest,22,0.28683181225554105
OpenCV,16,0.20860495436766624
spaCy,15,0.19556714471968709
SQLAlchemy,12,0.15645371577574968
NLTK,11,0.14341590612777053
Boto3,7,0.09126466753585398
Pydantic,4,0.05215123859191656
Celery,3,0.03911342894393742
Gradio,3,0.03911342894393742
Scrapy,1,0.01303780964797914
