skill,count,percentage
Communication,2637,34.38070404172099
Cross-functional,1798,23.441981747066492
Innovation,1643,21.421121251629724
Problem Solving,1498,19.53063885267275
Agile,1415,18.448500651890484
Analytical Skills,1406,18.331160365058672
Collaboration,1328,17.314211212516298
Mentoring,1029,13.415906127770535
Leadership,955,12.451108213820078
Decision Making,738,9.621903520208605
Scrum,391,5.097783572359844
Presentation,226,2.9465449804432855
Teamwork,210,2.7379400260756195
Project Management,196,2.555410691003911
Stakeholder Management,194,2.529335071707953
Critical Thinking,135,1.7601043024771839
Time Management,84,1.0951760104302477
Kanban,57,0.7431551499348109
Team Leadership,23,0.29986962190352023
