skill,count,percentage
React,1369,17.84876140808344
JavaScript,1183,15.423728813559322
TypeScript,920,11.994784876140809
Next.js,699,9.113428943937418
CSS,539,7.027379400260756
Node.js,535,6.97522816166884
Angular,490,6.388526727509778
HTML,450,5.867014341590613
GraphQL,314,4.0938722294654495
Vue.js,171,2.229465449804433
Redux,159,2.0730117340286833
Express.js,119,1.5514993481095176
REST API,107,1.3950456323337679
Jest,104,1.3559322033898304
PHP,71,0.9256844850065189
Ruby on Rails,70,0.9126466753585397
Bootstrap,65,0.847457627118644
Webpack,62,0.8083441981747066
Cypress,59,0.7692307692307693
Tailwind CSS,54,0.7040417209908736
Vite,39,0.5084745762711864
NestJS,28,0.3650586701434159
Laravel,16,0.20860495436766624
WebSocket,14,0.18252933507170796
Svelte,10,0.1303780964797914
